"","species","method","sampling","formula_null","loglik_null","npar_null","nobs_null","AICc_null","formula_best","loglik_best","npar_best","nobs_best","AICc_best","deltaAICc"
"1","C. alector","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk + cam",-2.7081667804994,13,112,35.1306192752845,NA,NA,NA,NA,NA,NA
"2","C. olivaceus","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk + cam",-2.77543378304883,13,112,35.2651532803834,NA,NA,NA,NA,NA,NA
"3","C. paca","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + (walk * cam)",-34.886188940806,15,112,104.772377881612,"pa ~ bsq + dcon | muestreo + (walk * cam)",-33.5347772037428,8,112,84.4676126599128,20.3047652216991
"4","C. thous","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + (walk * cam)",-45.7221564100928,15,112,126.444312820186,"pa ~ bsq + dcon + dcom + frs | muestreo + (walk * cam)",-40.7732074999443,10,112,103.724632821671,22.7196799985147
"5","C. unicinctus","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk * cam",-5.40669993613776,14,112,43.143296779492,NA,NA,NA,NA,NA,NA
"6","D. imperfecta","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + walk + cam",-9.74980963546352,14,112,51.8295161781435,"pa ~ bsq + dcom | muestreo + walk + cam",-11.4236553786998,7,112,37.9242338343226,13.9052823438209
"7","D. kappleri","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + (walk * cam)",-32.4260311557028,15,112,99.8520623114055,"pa ~ bsq + dcom | muestreo + (walk * cam)",-34.7423125182891,8,112,86.8826832890053,12.9693790224002
"8","D. leporina","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk + cam",-21.1684892027551,13,112,72.0512641197959,"pa ~ bsq + dcon | walk + cam",-14.8567920129427,6,112,42.5135840258854,29.5376800939105
"9","D. marsupialis","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk * cam",-2.77258875655506,14,112,37.8750744203266,"pa ~ bsq + dbsq | walk * cam",-4.54719138703645,7,112,24.171305850996,13.7037685693306
"10","D. novemcinctus","camera + observations","Warapata + Kavanayen","pa ~ bloque | muestreo + walk + cam",-30.2113553636973,14,112,92.7526076346111,"pa ~ bsq + dcom | muestreo + walk + cam",-37.4288001194045,7,112,89.9345233157322,2.81808431887889
"11","E. barbara","camera + observations","Warapata + Kavanayen","pa ~ bloque | walk * cam",-26.3623498636293,14,112,85.0545966344751,"pa ~ bsq + dcon | walk * cam",-25.4414320776723,7,112,65.9597872322676,19.0948094022075
